	Jaak Joala	Urmas Alender
Jaak	2	0
Joala	2	0
Eesti	2	0
oli	2	2
http	1	1
err	2	1
2021	1	2
on	2	1
joala	2	2
https	1	0
ning	1	1
jaak	2	1
Viljandi	2	0
ei	2	0
eesti	2	1
ta	2	2
aeg	1	2
aasta	2	1
2014	1	1
ka	1	1
vaadatud	1	1
kuju	2	2
autor	2	0
aastal	1	0
Netiviide	1	1
pealkiri	1	1
väljaanne	1	1
monument	2	1
arhiiv	1	0
Kategooria	1	1
monumendi	2	1
26	1	0
laulja	1	0
guid	1	1
november	1	0
Tallinna	1	1
i	1	1
laul	2	2
12	1	2
NSV	1	1
name	1	1
1	2	1
13	1	2
2022	1	1
basskitarr	1	1
september	1	1
ansambel	2	1
tema	2	2
kui	2	2
seda	1	2
ETV	2	1
1980	1	0
Toivo	1	1
ohtuleht	1	1
Õhtuleht	1	1
ERR	2	1
Raadio	1	2
31	1	1
Kristallid	1	1
postimees	2	0
delfi	2	2
issöör	1	2
1977	1	0
1987	1	0
lisa	1	1
viide	1	1
juuni	1	1
jaoks	1	1
Tartu	2	0
mis	2	1
detsember	1	1
Linna	1	1
1981	1	0
2020	1	1
Tallinn	1	1
kus	1	1
pärast	2	2
is	1	1
saade	2	1
aga	2	1
kadunud	1	1
v	1	1
Ivo	1	1
muusika	2	1
ansambli	2	2
kasti	2	2
2	2	0
jpg	1	2
6	2	1
9	2	2
Televisioon	1	2
Virmalised	1	0
aastatel	2	0
Eestis	1	2
kõik	1	1
olnud	1	2
m	1	2
s	1	1
isegi	1	2
lootusetult	1	0
Urmas	1	0
Kersna	2	2
Mati	1	0
10	1	1
25	1	1
1979	1	1
1985	1	1
1996	1	1
klahvpillid	1	0
olid	1	1
Fail	1	1
pisi	1	0
nii	1	0
laule	1	2
Radar	2	1
koos	2	0
id	1	2
kes	1	1
Vahur	2	1
Maire	1	0
vastu	1	0
Suveöö	1	1
Vello	1	0
toimetaja	1	0
Re	2	0
laulud	1	0
Ansambel	2	2
com	1	2
MTÜ	1	0
Olev	2	0
viljandi	2	0
linn	1	0
kultuur	1	2
poliitik	1	1
16	1	1
22	1	1
1973	1	1
1984	1	1
1988	1	1
2010	1	1
2015	1	1
2017	1	1
nimi	1	1
hiljem	2	1
laulis	1	0
Ma	2	1
Liidu	2	2
See	2	1
ainult	2	2
Postimees	2	0
Meie	2	2
Tõnis	1	0
vaata	2	0
viidi	1	2
avati	1	0
Viited	2	0
youtube	2	2
Välislingid	1	0
jaanuar	1	1
maha	1	1
soolokitarr	1	1
0	3	0
3	2	2
17	1	2
1966	1	1
1972	1	0
1982	1	1
2019	1	1
muusik	1	1
plaadifirma	1	1
Kurmet	1	1
aega	1	1
l	1	0
Jaan	1	1
Künnap	1	1
aastad	1	0
Ta	2	1
talle	1	2
Joalast	1	1
Olav	1	0
Ehala	1	1
eest	1	1
selle	2	1
detsembril	1	1
Talvik	2	1
Joalaga	2	1
mulle	1	0
veebruar	1	0
Lainer	1	1
juba	2	0
e	1	0
Las	1	1
oma	1	0
oktoober	1	2
le	1	1
kodu	1	0
kuid	1	0
ametlikult	2	1
Ojakäär	1	0
watch	1	0
sakala	2	0
Sakala	2	0
Kenk	1	0
kast	1	0
osta	1	0
ile	1	0
laulutekstide	1	0
14	1	0
23	1	1
1950	1	1
1969	1	0
1974	1	1
1978	1	1
1983	1	1
2008	1	1
2016	1	1
367961	1	1
vokaal	1	0
popmuusika	2	1
Filharmoonia	2	0
lugu	2	0
miks	1	1
Horoskoop	1	0
small	1	0
Joalat	2	1
sai	1	0
näiteks	1	1
Nõukogude	2	0
esituses	1	1
Kremli	2	0
ööbik	1	0
nagu	1	0
Telefilm	2	1
mitu	1	0
Aasta	2	0
suur	1	1
ajal	1	1
Joalale	1	0
kohta	1	0
ndash	1	1
soprade	1	0
sõprade	1	0
aastate	1	0
Ansambli	2	0
il	1	2
publik	1	1
ma	2	1
saates	2	2
Carte	1	1
blanche	1	0
lahkus	1	0
ära	2	1
menu	2	1
jääda	1	0
hea	1	0
Mägi	1	0
tulid	1	1
oktoobril	1	0
sündinud	2	1
Toomas	1	2
jaanuaril	1	1
teele	1	0
in	1	0
memoriam	1	2
mille	1	0
liikmed	1	1
Viljandis	2	1
viited	2	0
Salumets	1	2
algusest	1	0
re	2	0
meie	2	0
dcc	1	0
ttu	1	0
Bands	1	0
get	1	0
asp	1	0
ident	1	0
Laul	2	0
artikkel	2	2
ausammas	2	1
saanud	1	0
Rahva	2	0
pani	1	0
tahab	1	0
ausamba	1	0
pakub	1	0
Vally	2	0
Ojavere	2	0
andmebaas	1	0
Kõlar	1	0
15	1	0
21	1	1
24	1	1
29	1	1
74	1	1
1960	1	0
1965	1	0
1968	1	0
1975	1	1
1991	1	1
2013	1	1
flööt	1	1
muusikapedagoog	1	0
muusikaprodutsent	1	0
Melodija	1	0
Riiklik	1	1
a	2	1
Arno	1	2
hakkas	1	0
Pärast	2	1
klassi	1	1
nimeline	1	1
algas	1	1
mängis	1	0
Unt	1	1
Tema	2	1
salvestatud	1	2
Kurmeti	1	1
kelle	1	1
Arne	1	0
Naissoo	1	0
Raivo	1	0
Kikerpuu	1	0
Raimonds	1	0
Pauls	1	0
Vladimir	1	0
laulu	2	0
Liit	1	2
Liidus	1	1
mitte	1	0
esines	1	0
Teisikud	1	0
tuli	1	0
Vene	2	1
repertuaarist	1	1
teha	1	0
väga	1	1
kunstnik	1	1
kontserte	1	0
kultuuriministeeriumi	1	0
ette	1	1
lihtsalt	1	0
sellele	2	0
lauljana	1	1
solist	1	1
loobus	1	1
Länik	1	0
php	1	0
enam	1	1
Ada	1	1
Lundver	1	0
peale	1	0
liiga	1	1
Ott	1	0
ise	1	1
neid	1	1
filharmoonia	2	1
sõnul	1	0
elu	3	0
Koit	1	1
Toome	1	0
kõige	2	0
muusikat	2	0
üle	1	0
mida	1	2
aastat	1	0
news	1	1
RAM	1	1
lauluväljakul	1	0
esimese	1	0
abikaasa	1	0
ordenit	1	1
tramm	1	0
galerii	2	0
kastis	1	1
novembris	2	0
ga	1	0
edetabelid	2	1
kujule	1	0
mälestusmärk	1	0
fotod	1	0
viljandis	2	0
Mu	2	0
ISBN	1	0
Paavo	1	1
Raadiosaated	1	1
Peeter	1	0
räägib	1	1
Kuumad	1	0
kuuekümnendad	1	0
ansamblit	1	0
Saatejuhid	2	1
Kõrvits	1	0
räägivad	1	0
lugude	1	0
esinemistest	1	0
Muusika	2	0
ansamblilt	1	2
Vikerraadio	1	0
Autor	2	0
Saatejuht	2	0
peab	1	0
lavastaja	1	0
Leo	1	0
levimuusikapäevad	1	0
Radsin	1	0
Saade	2	0
ansamblite	2	1
Ringvaade	2	0
Sündinud	2	0
pühendatud	1	2
sambaga	1	1
Marko	1	0
Suurmägi	1	0
jaanuaris	1	0
nõudekirja	1	0
kriitikat	1	0
eemaldati	1	0
lõhuti	1	0
umber	1	0
ümber	1	0
mtu	1	0
seisab	1	0
Monumendi	2	0
eestvedaja	1	0
linnavolikogu	1	0
Aaltonen	2	1
avamist	1	0
paigaldamise	1	0
pargist	1	0
elanikke	1	0
lesk	1	0
paar	1	0
aprill	1	1
Laulu	2	1
